Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,356,320,0.000000,0.460000,500.000000,499.074154
8,0,0,0,0,0.000000,0.000000,500.000000,499.074092
7,0,0,0,0,0.000000,0.000000,500.000000,499.073921
6,0,0,0,0,0.000000,0.000000,500.000000,499.074447
5,0,0,0,0,0.000000,0.000000,500.000000,499.075007
4,0,0,0,0,0.000000,0.000000,500.000000,499.074596
3,0,0,0,0,0.000000,0.000000,500.000000,499.074132
2,0,0,0,0,0.000000,0.000000,500.000000,499.075103
1,1,502,160,27570,0.000066,1.830000,500.000000,499.079409
0,501,2,27552,178,0.000000,4.049000,500.000000,499.079327
ALL,506,506,28068,28068,0.000066,6.339000,5000.000000,4990.754189
